TimeInterval,GantryID,小客車,小貨車,大客車,大貨車,聯結車,direction,小客車速度,小貨車速度,大客車速度,大貨車速度,聯結車速度
1,5,20,5,0,0,0,1,90,90,0,0,0
1,17,27,2,0,0,0,0,93,104,0,0,0
1,17,28,5,0,0,0,1,93,93,0,0,0
1,29,31,3,0,0,0,0,93,97,0,0,0
1,29,33,6,1,1,0,1,93,90,86,86,0
1,61,38,3,0,1,0,0,97,104,0,90,0
1,61,52,16,0,3,0,1,97,90,0,90,0
1,99,47,6,0,1,2,0,97,97,0,68,59
1,99,47,14,0,1,1,1,268,365,0,86,79
1,147,34,5,2,1,1,0,211,294,91,86,90
1,147,32,14,1,2,3,1,100,93,118,91,82
1,153,55,10,4,0,0,0,97,97,95,0,0
1,153,40,6,0,2,1,1,99,88,0,86,82
1,182,43,11,0,3,1,1,97,97,0,86,79
1,213,42,10,1,0,2,0,97,100,93,0,81
1,233,43,5,1,6,4,0,97,104,82,84,81
1,248,89,12,0,1,3,1,97,104,0,90,97
1,256,76,9,1,3,3,0,99,90,82,93,82
1,264,94,11,1,1,3,1,97,100,93,93,93
1,293,75,10,0,3,4,0,100,91,0,86,79
1,293,82,9,5,2,0,1,100,100,90,82,0
1,339,181,30,4,2,2,1,194,194,86,79,75
1,340,99,7,5,4,3,0,202,202,97,90,90
1,376,105,12,7,7,2,0,97,93,90,90,88
1,376,94,13,8,1,1,1,97,97,82,90,57
1,413,75,9,2,4,1,0,100,100,86,93,90
1,413,73,17,6,0,0,1,100,100,91,0,0
1,467,82,8,2,2,1,0,100,100,88,75,68
1,467,56,9,1,3,1,1,100,100,68,93,111
1,492,103,17,6,9,5,0,100,100,90,90,90
1,492,54,10,0,4,2,1,102,102,0,90,88
1,511,98,21,9,6,6,0,108,104,97,99,97
1,511,47,10,0,3,1,1,240,266,0,90,93
1,532,92,19,6,5,5,0,197,97,91,97,172
1,532,95,10,2,5,5,1,100,95,54,86,90
1,557,118,17,3,4,3,0,104,97,82,100,77
1,557,61,7,2,3,6,1,97,90,88,75,86
1,578,61,5,2,7,3,1,192,186,186,93,93
1,584,92,11,2,6,2,0,100,97,86,93,75
1,633,86,6,1,6,4,0,208,197,90,93,82
1,633,48,9,4,7,2,1,100,100,93,93,82
1,664,68,10,2,3,7,0,104,95,93,97,82
1,664,72,16,4,9,2,1,104,102,97,97,82
1,681,59,11,1,2,11,0,104,100,93,99,86
1,681,36,12,2,6,3,1,97,99,91,82,86
1,699,53,7,1,2,7,0,100,100,90,88,75
1,699,45,5,1,4,4,1,108,104,97,97,91
1,750,119,22,1,3,4,0,208,212,97,82,84
1,750,102,13,4,2,6,1,104,100,95,93,86
1,880,97,18,2,4,3,0,100,97,90,79,68
1,880,93,5,4,1,4,1,104,108,95,104,90
1,928,116,14,3,3,5,0,102,100,93,90,90
1,928,76,7,4,1,5,1,104,100,99,100,90
1,950,71,6,6,3,7,1,104,104,95,100,90
1,956,107,11,3,8,6,0,108,100,90,93,88
1,979,84,15,3,6,3,0,104,104,93,88,82
1,980,76,18,5,2,5,1,224,193,93,95,158
1,1045,107,13,2,2,3,0,288,206,95,82,100
1,1045,50,8,3,1,2,1,102,100,93,104,93
1,1123,124,16,5,2,8,0,104,102,97,84,91
1,1123,57,8,4,1,2,1,104,109,88,93,79
1,1292,102,24,1,4,3,0,104,104,97,91,90
1,1292,62,9,7,3,0,1,102,108,90,86,0
1,1389,106,8,2,2,1,0,108,108,95,86,111
1,1389,76,12,5,3,3,1,104,102,86,90,93
1,1465,97,13,2,2,6,0,104,108,100,97,88
1,1465,51,8,2,3,3,1,104,102,90,90,90
1,1572,98,13,1,3,0,0,104,100,93,86,0
1,1572,56,8,4,1,1,1,108,97,91,90,100
1,1621,78,16,0,2,5,0,106,104,0,91,90
1,1621,58,4,6,2,0,1,108,97,91,106,0
1,1664,84,16,1,3,7,0,287,220,97,93,90
1,1664,57,7,6,5,2,1,108,104,93,97,82
1,1699,88,13,3,1,6,0,108,104,97,86,81
1,1699,41,8,7,3,2,1,108,106,93,97,84
1,1774,81,10,2,7,4,0,108,109,99,90,84
1,1774,40,11,0,2,3,1,109,104,0,99,90
1,1802,63,14,4,5,6,0,111,111,90,90,91
1,1802,56,5,1,2,0,1,111,100,108,95,0
1,1839,90,21,6,4,4,0,111,108,95,93,91
1,1839,49,7,3,3,1,1,104,100,93,90,68
1,1906,98,13,3,5,5,0,108,104,97,93,86
1,1906,47,6,5,4,1,1,273,99,93,95,93
1,1960,145,21,1,5,8,0,276,271,97,108,154
1,1960,62,10,6,2,4,1,111,109,91,102,82
1,2011,134,23,4,10,8,0,108,111,97,95,81
1,2011,71,11,2,2,6,1,111,104,95,90,86
1,2089,116,21,2,6,4,0,111,108,95,97,88
1,2089,60,11,4,1,5,1,111,108,90,100,86
1,2156,101,24,3,7,7,0,111,108,104,93,90
1,2156,64,10,4,4,2,1,111,102,91,93,90
1,2249,107,18,1,7,5,0,111,109,108,97,86
1,2249,55,11,3,4,3,1,108,100,104,91,75
1,2322,91,14,2,5,5,0,108,108,90,90,82
1,2322,49,11,3,3,5,1,111,104,97,104,82
1,2394,84,18,4,5,6,0,111,106,90,90,84
1,2394,44,9,4,3,3,1,113,104,97,108,86
1,2425,84,12,4,10,7,0,111,109,106,93,93
1,2425,46,13,3,4,3,1,115,108,100,99,86
1,2472,66,11,4,6,5,0,111,111,100,88,93
1,2472,52,16,5,4,3,1,108,100,93,90,82
1,2514,66,12,5,4,4,0,111,109,97,93,90
1,2514,36,10,5,3,4,1,108,111,97,90,86
1,2603,64,13,3,1,9,0,111,111,97,111,90
1,2603,28,12,2,7,2,1,111,109,91,93,88
1,2674,55,8,3,7,10,0,108,111,90,97,82
1,2674,40,11,1,2,1,1,108,108,93,95,86
1,2714,62,8,1,3,10,0,111,106,79,97,81
1,2714,75,6,1,9,2,1,108,104,97,90,82
1,2827,52,9,4,3,9,0,111,111,95,79,86
1,2827,66,15,2,7,5,1,108,97,97,97,82
1,2866,49,13,1,6,8,0,111,43,100,88,82
1,2866,60,13,2,2,4,1,111,111,93,97,81
1,2930,42,6,2,8,12,0,111,113,99,84,93
1,2930,83,13,2,5,0,1,108,108,93,90,0
1,3019,53,5,1,3,8,0,108,111,93,93,75
1,3019,72,15,4,3,3,1,111,111,95,90,79
1,3083,47,13,0,5,5,0,115,108,0,97,75
1,3083,66,18,2,2,2,1,111,113,93,84,59
1,3126,66,10,2,6,12,0,113,109,100,97,82
1,3126,84,13,2,2,1,1,197,190,95,95,64
1,3185,64,13,3,5,29,0,208,108,97,75,82
1,3185,66,5,6,2,4,1,111,104,97,95,91
1,3227,63,11,3,5,7,0,111,100,97,79,86
1,3227,58,15,3,4,4,1,115,111,97,104,86
1,3252,50,6,1,4,3,0,108,100,93,81,82
1,3252,54,13,0,2,5,1,108,111,0,86,86
1,3286,43,8,1,1,6,0,108,99,75,75,75
1,3286,62,13,0,1,3,1,111,108,0,108,90
1,3366,51,5,0,2,7,0,104,104,0,75,75
1,3366,79,15,2,1,3,1,115,111,97,97,86
1,3398,55,14,0,2,9,0,115,104,0,100,90
1,3398,66,15,3,1,2,1,111,108,97,100,81
1,3460,58,11,1,2,11,0,111,104,97,93,86
1,3460,75,8,3,3,4,1,108,108,97,86,84
1,3535,60,13,4,1,4,0,104,104,81,79,72
1,3535,73,10,0,2,4,1,104,104,0,88,90
1,3559,51,12,0,0,8,0,104,95,0,0,72
1,3561,79,13,0,0,3,1,104,108,0,0,93
1,3590,45,8,0,2,8,0,104,97,0,79,68
1,3590,71,9,0,2,1,1,104,100,0,93,75
1,3640,62,15,0,2,3,0,206,100,0,97,72
1,3640,47,12,1,2,2,1,104,95,93,91,86
1,3676,63,12,1,1,5,0,104,97,111,90,79
1,3676,54,8,0,2,3,1,100,100,0,91,86
1,3686,2,0,0,0,0,1,88,0,0,0,0
1,3696,55,8,2,0,6,0,97,90,99,0,86
1,3736,0,1,0,0,0,0,0,97,0,0,0
2,5,26,5,0,0,0,1,93,97,0,0,0
2,17,17,3,2,0,0,0,97,90,84,0,0
2,17,29,6,0,0,0,1,93,93,0,0,0
2,29,23,7,1,0,0,0,93,93,93,0,0
2,29,22,9,0,4,0,1,95,97,0,90,0
2,61,27,7,1,0,0,0,100,93,90,0,0
2,61,30,12,1,4,2,1,93,100,90,88,73
2,99,58,12,2,2,0,0,100,93,93,82,0
2,99,37,16,0,4,1,1,280,269,0,90,90
2,147,56,8,1,1,0,0,284,194,90,93,0
2,147,38,7,0,3,1,1,97,100,0,97,100
